name,lat,lon,popnear,housenear,empnear,paynear,popwalk,housewalk,empwalk,paywalk,popdrive,housedrive,parking
'Damen Br',41.966,-87.679,7631,3418,1552,60655,26315,11788,5352,209157,0,0,0
'Western Br',41.966,-87.689,8786,3584,1649,61485,25104,10241,4712,175672,0,0,0
'Rockwell',41.966,-87.694,8181,3269,1486,55227,24792,9908,4504,167355,111566,44590,0
'Francisco',41.966,-87.702,8233,3199,1477,53776,24215,9409,4344,158165,0,0,0
'Kedzie Br',41.966,-87.709,6333,2356,1111,40799,21840,8125,3833,140686,0,0,0
'Kimball',41.967,-87.713,14935,5482,2687,96557,21645,7945,3894,139938,0,0,1
'O'Hare',41.978,-87.904,2517,849,5142,286248,2517,849,5142,286248,317237,107071,0
'Rosemont',41.984,-87.86,4639,1769,3920,209046,4833,1842,4083,217756,76123,29023,1
'Cumberland',41.984,-87.838,6579,2620,4248,235613,6579,2620,4248,235613,59216,23581,1
'Harlem N',41.982,-87.807,9970,3873,4575,257504,9970,3873,4575,257504,224329,87151,1
'Jefferson Park',41.971,-87.763,13246,4964,2849,109751,13380,5014,2878,110860,90319,33850,0
'Montrose Bl',41.961,-87.744,16674,6069,3046,106074,18123,6597,3310,115297,40778,14844,0
'Irving Park Bl',41.953,-87.729,14793,5432,2819,101857,20545,7544,3915,141468,92456,33951,0
'Addison Bl',41.947,-87.719,12901,4698,2471,89977,21867,7963,4188,152504,49201,17917,0
'Belmont B',41.939,-87.712,13979,5115,2809,103041,22917,8386,4606,168919,0,0,0
'Logan Square',41.93,-87.708,14982,5510,2984,100551,23782,8746,4736,159605,0,0,0
'California B',41.922,-87.697,15639,6221,3584,114268,25637,10199,5876,187324,57685,22949,0
'Western BN',41.916,-87.687,16026,6759,4810,177900,24282,10241,7289,269546,0,0,0
'Damen Bl',41.91,-87.678,14691,6548,5493,211848,24084,10734,9005,347292,0,0,0
'Division',41.904,-87.668,12049,5493,6153,283716,19433,8859,9924,457607,43726,19934,0
'Chicago B',41.896,-87.655,10546,5549,10317,668466,19175,10089,18758,1215392,0,0,0
'Grand B',41.891,-87.648,4589,2717,13301,1135369,18358,10870,53207,4541476,0,0,0
'LaSalle',41.875,-87.631,835,413,4410,397351,16717,8270,88201,7947025,0,0,0
'Clinton B',41.875,-87.641,4128,1988,16513,1452661,15292,7366,61159,5380227,68815,33148,0
'UIC Halstead',41.875,-87.649,4386,2156,8787,662764,13709,6740,27461,2071139,0,0,0
'Racine',41.876,-87.657,5629,2567,6655,429898,13403,6113,15846,1023568,0,0,0
'Illinois Medical District',41.876,-87.673,8070,3031,5112,293201,15227,5720,9646,553210,0,0,0
'Western BS',41.875,-87.688,8575,3059,5687,345794,13192,4706,8750,531991,0,0,0
'Kedzie-Homan',41.874,-87.706,10507,3330,3950,224135,14798,4690,5564,315683,0,0,0
'Pulaski B',41.874,-87.728,11899,3605,2404,111470,15453,4682,3122,144767,0,0,0
'Cicero B',41.872,-87.745,13836,4108,2012,72049,16669,4949,2424,86807,0,0,0
'Austin B',41.871,-87.777,11797,3935,2118,75543,14386,4799,2583,92125,0,0,0
'Oak Park B',41.872,-87.792,8796,3224,1768,66416,12935,4741,2600,97671,58210,21335,0
'Harlem S',41.873,-87.807,4671,1844,1435,53733,9939,3923,3054,114326,0,0,0
'Forest Park',41.874,-87.817,6430,2662,2530,98729,7747,3207,3048,118950,557789,230940,1
'Harlem/Lake',41.887,-87.804,6677,2707,2789,94149,10598,4297,4427,149444,0,0,0
'Oak Park G',41.887,-87.794,6004,2464,2251,73095,12009,4929,4502,146190,0,0,0
'Ridgeland',41.887,-87.784,8259,3031,1975,67135,15583,5719,3727,126670,35063,12868,0
'Austin G',41.887,-87.774,7641,2495,1295,45152,16612,5424,2816,98157,37377,12204,0
'Central',41.887,-87.766,8686,2858,1379,47660,17727,5833,2815,97267,39887,13126,0
'Laramie',41.887,-87.755,8986,2880,1364,47139,17620,5648,2676,92430,0,0,0
'Cicero G',41.887,-87.745,11525,3724,1655,57107,16949,5477,2434,83981,0,0,0
'Pulaski G',41.885,-87.726,8825,2889,1843,83517,15484,5068,3234,146521,0,0,0
'Conservatory-Central Park',41.885,-87.717,9058,2979,2327,113398,16175,5319,4156,202496,0,0,0
'Kedzie G',41.884,-87.706,8007,2752,2939,157753,16342,5616,5999,321945,0,0,0
'California G',41.884,-87.696,7305,2716,4197,243608,14610,5432,8394,487217,0,0,0
'Ashland P-G',41.85,-87.667,7058,2296,2825,150267,15017,4886,6012,319718,0,0,0
'Morgan',41.886,-87.652,6366,3617,21782,1899307,15158,8612,51864,4522159,0,0,0
'Clinton P-G',41.886,-87.642,4117,2526,25166,2303414,17155,10527,104862,9597559,0,0,0
'Cermak McCormick',41.853,-87.626,10226,4530,5751,309663,15494,6864,8714,469187,0,0,0
'35th-Bronzeville-IIT',41.832,-87.626,5579,2168,1806,82209,13607,5289,4406,200510,0,0,0
'Indiana',41.822,-87.621,6472,2491,1929,91624,13484,5191,4019,190885,30341,11679,0
'43rd',41.816,-87.619,5873,2421,1199,47806,13983,5764,2856,113824,0,0,0
'47th G',41.809,-87.619,4726,1908,1128,52014,13900,5612,3320,152985,31275,12629,0
'51st',41.802,-87.619,4699,1844,1047,50243,13822,5423,3079,147776,31100,12203,0
'Garfield G',41.795,-87.618,7149,2778,1702,85373,13748,5342,3274,164180,0,0,1
'Halstead G',41.779,-87.644,10869,3409,1599,71994,11814,3706,1738,78255,26583,8339,0
'Ashland/63rd',41.779,-87.664,12552,3629,1368,48146,13075,3781,1425,50152,88258,25522,1
'King Drive',41.78,-87.616,6425,2409,1682,88993,13113,4918,3433,181619,0,0,0
'Cottage Grove',41.78,-87.606,10851,4220,3743,218711,13735,5342,4738,276850,216338,84145,0
'54th/Cermak',41.852,-87.757,13501,3806,2229,80516,15342,4326,2534,91495,172605,48668,1
'Cicero P',41.852,-87.745,9777,2695,1623,59005,15769,4347,2619,95170,35481,9780,0
'Kostner',41.854,-87.733,9375,2592,1461,54061,16741,4629,2610,96538,75337,20834,0
'Pulaski P',41.854,-87.724,7937,2189,1266,53240,18040,4975,2877,121000,40590,11195,0
'Central Park',41.854,-87.715,8092,2275,1569,74116,17982,5057,3486,164702,40460,11379,0
'Kedzie P',41.854,-87.706,8226,2377,2008,99869,17139,4953,4185,208061,0,0,0
'California P',41.854,-87.695,8586,2548,2549,131948,16200,4808,4811,248958,36451,10819,0
'Western P',41.854,-87.685,9487,2953,3726,201340,15812,4922,6211,335566,71156,22151,0
'Damen P',41.8554,-87.676,6539,2179,2857,156582,15569,5188,6803,372815,0,0,0
'18th',41.858,-87.669,7358,2524,3484,192603,15329,5258,7259,401257,0,0,0
'Polk',41.872,-87.669,5580,2051,3622,209193,14309,5259,9287,536392,0,0,0
'Halstead O',41.847,-87.648,12084,4403,5373,274068,13732,5004,6106,311441,0,0,1
'Ashland O',41.839,-87.665,10715,3393,3588,174263,14286,4524,4784,232351,0,0,0
'35/Archer',41.829,-87.681,13482,3881,3501,158438,14655,4219,3805,172216,32974,9492,1
'Western O',41.804,-87.684,14088,3951,2875,119076,14230,3991,2904,120278,32018,8980,1
'Kedzie O',41.804,-87.704,12943,3562,2689,102974,13769,3789,2860,109547,154907,42636,1
'Pulaski O',41.8,-87.724,13448,3691,2806,110290,13864,3805,2892,113701,0,0,1
'Midway',41.787,-87.738,12022,3413,2639,112185,12655,3593,2778,118089,654912,185950,1
