name,lat,lon,popnear,housenear,empnear,paynear,popwalk,housewalk,empwalk,paywalk,popdrive,housedrive,parking
'Symphony',42.342,-71.086,1631,649,2503,178014,32626,12984,50071,3560295,0,0,0
'Museum of Fine Arts',42.338,-71.095,3977,1486,5188,327258,33148,12384,43238,2727156,0,0,0
'Longwood Medical',42.336,-71.1,3548,1270,4500,248568,32257,11545,40910,2259711,0,0,0
'Brigham Cirle',42.335,-71.104,3814,1330,5995,332037,34677,12091,54500,3018522,0,0,0
'Fenwood Road',42.334,-71.106,4770,1706,6429,355263,29812,10665,40182,2220397,67078,23997,0
'Mission Park',42.333,-71.11,762,283,850,46794,25431,9433,28338,1559800,0,0,0
'Riverway',42.332,-71.112,1661,626,1692,92966,23738,8951,24182,1328096,0,0,0
'Back of the Hill',42.33,-71.111,866,338,728,39488,21673,8463,18213,987201,0,0,0
'Heath St.',42.328,-71.111,6792,2678,5270,285486,20583,8115,15972,865110,0,0,0
'Hynes Convention Center',42.348,-71.088,6803,2746,12767,997352,32396,13076,60797,4749297,0,0,0
'Kenmore',42.349,-71.096,9540,3346,19361,1364257,38160,13384,77445,5457029,0,0,0
'Fenway',42.345,-71.104,2155,732,3550,224081,35931,12214,59174,3734697,0,0,0
'Longwood',42.342,-71.11,2727,1000,3213,191286,27272,10000,32134,1912868,0,0,0
'Brookline Village',42.333,-71.117,5855,2243,5675,310237,22521,8629,21830,1193219,0,0,0
'Brookline Hills',42.331,-71.127,6923,2830,3897,203967,14128,5776,7954,416260,0,0,0
'Beaconsfield',42.336,-71.14,3103,1282,911,41700,12929,5344,3798,173753,0,0,0
'Reservoir',42.335,-71.149,2903,1170,929,44650,11167,4501,3576,171730,0,0,0
'Chestnut Hill',42.327,-71.165,6618,2453,2300,116647,7974,2955,2771,140538,35885,13300,0
'Newton Centre',42.329,-71.192,4729,1658,2223,126434,5435,1905,2555,145327,24460,8576,0
'Newton Highlands',42.323,-71.205,3261,1211,1528,92255,5259,1953,2466,148798,11834,4396,0
'Eliot',42.319,-71.217,3183,1181,2267,160626,4897,1817,3488,247117,66118,24532,0
'Waban',42.326,-71.23,3752,1398,1802,130249,4576,1705,2198,158841,30892,11514,0
'Woodland',42.333,-71.243,2376,842,1642,136036,3395,1203,2346,194338,7639,2706,1
'Riverside Terminal',42.337,-71.253,2736,949,1965,157853,3258,1130,2339,187920,403201,139940,1
'St. Marys Street',42.346,-71.108,1374,474,2037,123279,34355,11873,50936,3081986,0,0,0
'Hawes Street',42.345,-71.111,290,106,364,22091,29020,10600,36472,2209106,0,0,0
'Kent Street',42.344,-71.114,1112,423,1211,72872,27817,10579,30289,1821806,0,0,0
'Saint Paul Street',42.343,-71.117,2427,965,2158,127302,26975,10732,23985,1414470,0,0,0
'Coolidge Corner',42.342,-71.121,3621,1542,1966,97285,25869,11019,14049,694897,0,0,0
'Summit Ave',42.341,-71.126,3444,1467,1705,83339,22961,9786,11370,555593,0,0,0
'Brandon Hall',42.34,-71.129,1273,523,663,33072,18191,7478,9472,472458,0,0,0
'Fairbanks Street',42.34,-71.131,1600,670,484,21687,16005,6707,4840,216875,0,0,0
'Washington Square',42.339,-71.135,1930,798,598,27455,14849,6139,4603,211195,0,0,0
'Tappan Street',42.339,-71.138,580,238,182,8486,14513,5965,4573,212154,0,0,0
'Dean Road',42.338,-71.142,279,114,89,4180,13990,5711,4461,209013,0,0,0
'Englewood Ave',42.337,-71.145,918,377,279,12912,13121,5399,3986,184465,0,0,0
'Cleveland Circle',42.336,-71.149,114,46,36,1768,11429,4622,3682,176894,0,0,0
'Blanford Street',42.349,-71.1,3599,1227,6342,412269,35995,12272,63424,4122692,0,0,0
'Boston University East',42.35,-71.104,2129,726,3646,235657,35486,12102,60770,3927623,0,0,0
'Boston University Central',42.35,-71.107,4727,1622,7049,437695,33770,11588,50355,3126397,0,0,0
'Boston University West',42.351,-71.113,5241,1921,6425,410616,30830,11302,37796,2415388,0,0,0
'St. Paul Street',42.351,-71.116,3666,1392,3798,239843,28203,10708,29222,1844948,0,0,0
'Pleasant Steet',42.352,-71.119,2058,802,1692,111082,25733,10027,21162,1388534,0,0,0
